algoritmo,tipo,tamaño,tiempo_ms,tiempo_ns
ShakerSort,ordenamiento,10000,78.180500,78180500
DualPivotQuickSort,ordenamiento,10000,6.146000,6146000
HeapSort,ordenamiento,10000,6.346600,6346600
MergeSort,ordenamiento,10000,6.173300,6173300
RadixSort,ordenamiento,10000,8.365500,8365500
ShakerSort,ordenamiento,100000,14691.926000,14691926000
DualPivotQuickSort,ordenamiento,100000,56.887500,56887500
HeapSort,ordenamiento,100000,22.528500,22528500
MergeSort,ordenamiento,100000,26.213200,26213200
RadixSort,ordenamiento,100000,15.393600,15393600
DualPivotQuickSort,ordenamiento,1000000,165.080600,165080600
HeapSort,ordenamiento,1000000,271.579500,271579500
MergeSort,ordenamiento,1000000,228.281900,228281900
RadixSort,ordenamiento,1000000,100.875100,100875100
BinarySearch,busqueda,10000,0.002672,2672
TernarySearch,busqueda,10000,0.002031,2031
JumpSearch,busqueda,10000,0.003638,3638
BinarySearch,busqueda,100000,0.000234,234
TernarySearch,busqueda,100000,0.000189,189
JumpSearch,busqueda,100000,0.003673,3673
BinarySearch,busqueda,1000000,0.000191,191
TernarySearch,busqueda,1000000,0.000216,216
JumpSearch,busqueda,1000000,0.008680,8680
